CO,NO2,O3,SO2,PM2.5,PM10,city,overall_aqi
514.03,34.96,0.0,0.92,12.09,12.89,Muncie,43
243.66,7.54,62.94,0.1,0.79,1.09,Greeley,62
514.03,42.84,0.05,5.84,11.27,14.27,Spring Valley,53
240.33,5.57,60.8,0.14,1.56,2.36,Rapid City,55
277.04,3.94,60.08,0.38,0.99,1.44,Lynn,53
1028.06,29.47,0.0,0.93,35.17,42.62,Clifton,89
270.37,6.43,79.39,0.34,5.29,18.98,Thousand Oaks,110
614.17,62.38,13.05,3.13,32.94,41.28,El Cajon,85
614.17,69.92,1.15,1.77,12.2,22.74,Miami Gardens,87
257.02,6.26,48.64,0.33,2.94,9.44,Cape Coral,41
220.3,0.49,103.0,1.86,2.76,11.15,Alexandria,170
253.68,3.9,50.07,0.3,6.43,6.9,Shreveport,42
390.53,35.64,9.3,2.89,6.87,10.16,Pearland,44
627.52,34.62,0.16,0.18,14.48,18.94,Schaumburg,47
2002.72,70.6,0.0,3.82,66.87,77.0,Detroit,150
1321.79,57.58,0.0,2.8,50.68,59.72,Cicero,120
270.37,6.68,46.49,1.46,9.19,10.65,Tyler,39
300.41,10.88,50.07,0.93,4.45,4.93,Tulsa,42
397.21,33.59,31.83,1.42,8.91,18.2,Sparks,41
397.21,20.05,11.27,0.03,5.06,5.81,Appleton,25
761.03,60.32,0.04,3.93,24.09,29.94,Elk Grove,75
205.28,0.19,78.68,0.2,2.13,6.44,San Juan,109
260.35,8.74,61.51,0.25,1.62,2.57,Longmont,57
267.03,8.48,3.17,0.09,2.29,3.93,Athens-Clarke County unified government,10
337.12,20.91,26.82,1.19,8.06,11.15,Kent,26
687.6,33.93,0.0,0.11,16.34,20.17,Stamford,51
614.17,69.92,1.15,1.77,12.2,22.74,Hialeah,87
216.96,1.03,68.67,0.73,2.62,6.81,Carmichael,80
300.41,7.54,55.79,0.24,1.77,2.07,Worcester,47
640.87,58.95,50.07,2.89,56.33,64.86,San Diego,131
460.63,52.09,32.9,1.82,8.88,19.25,Riverside,65
494.0,41.13,9.66,2.09,18.39,21.07,Lee's Summit,55
1255.04,41.13,0.0,1.61,58.08,66.65,Saint Paul,135
1255.04,41.13,0.0,1.61,58.08,66.65,Eagan,135
327.11,7.63,51.5,0.33,7.4,8.1,Fargo,43
350.48,10.37,36.12,1.55,8.4,13.79,McAllen,30
247.0,5.91,65.8,1.4,1.36,4.41,Warwick,71
380.52,37.36,59.37,1.97,7.64,16.87,Perris,51
280.38,21.42,55.79,0.42,5.58,17.71,Rancho Cucamonga,47
340.46,8.82,38.98,0.51,2.45,3.96,Rochester Hills,33
273.71,9.25,39.34,4.41,12.55,13.25,Allen,40
453.95,32.56,0.52,4.29,8.67,11.94,Camden,40
230.31,3.9,62.23,0.05,1.14,4.62,Las Cruces,60
297.07,8.57,55.79,0.47,1.68,2.13,Nashua,47
587.46,47.3,4.07,1.04,20.42,32.46,Tampa,60
700.95,35.99,0.05,1.55,16.24,20.73,Southfield,51
507.36,50.04,1.61,1.15,10.77,12.33,New Haven,62
277.04,6.43,43.27,0.45,5.09,7.24,Ames,36
614.17,18.51,0.0,1.86,13.33,19.57,Hoover,43
273.71,6.94,41.84,2.68,10.05,10.4,Flower Mound,35
297.07,11.82,45.42,0.56,3.27,3.4,Oklahoma City,38
403.88,23.99,8.23,0.57,10.05,15.2,Jacksonville,32
293.73,19.71,72.24,1.1,6.85,17.48,Upland,91
310.42,7.63,42.56,0.17,5.03,6.06,Fayetteville,36
841.14,79.51,75.1,8.82,94.34,110.19,Carlsbad,167
203.61,0.2,74.39,0.23,2.2,6.57,Guaynabo,98
343.8,17.99,8.32,0.43,6.17,7.82,Nashville,22
867.84,119.27,32.54,14.19,74.61,93.56,Laguna Niguel,155
387.19,24.68,20.21,1.74,12.39,13.53,College Station,40
208.62,1.48,61.51,0.08,4.8,5.28,San Clemente,57
193.6,0.87,80.82,0.28,0.65,0.78,Boulder,114
594.14,71.29,5.19,3.07,16.0,19.58,Fresno,89
363.83,12.68,53.64,1.24,21.02,23.3,Killeen,61
300.41,10.37,47.92,0.73,2.18,3.26,Fall River,40
357.15,24.68,37.19,1.42,4.98,6.12,Providence,31
1108.17,138.46,0.05,18.12,59.21,79.65,Anaheim,137
367.17,23.99,35.05,0.85,11.42,20.69,Clearwater,37
473.98,43.53,4.65,1.4,14.04,16.53,Sacramento,54
303.75,27.08,51.5,0.73,7.31,19.57,Baldwin Park,43
387.19,18.17,19.13,0.78,7.95,8.52,Decatur,25
297.07,13.02,50.78,0.07,3.91,12.18,Avondale,43
273.71,23.99,39.7,5.54,2.75,5.0,Westminster,33
921.25,93.22,0.03,8.35,31.25,53.16,Torrance,107
267.03,9.17,37.91,0.83,1.96,3.28,Baltimore,32
473.98,26.05,0.0,1.19,8.21,9.19,Cleveland,32
480.65,55.52,20.03,1.8,7.27,16.06,Las Vegas,69
1068.12,39.41,0.0,1.13,36.77,57.34,New Rochelle,92
337.12,12.85,45.42,1.27,1.57,2.69,Riverview,38
390.53,15.77,0.2,0.32,4.97,5.62,Salem,19
467.3,51.41,18.24,2.41,8.9,16.94,Davie,64
236.99,7.54,21.1,0.06,2.42,5.66,Lakeland,17
343.8,41.47,15.91,1.82,5.83,9.35,Salt Lake City,51
453.95,41.81,1.48,0.31,7.23,10.19,Kissimmee,52
293.73,19.71,72.24,1.1,6.85,17.48,Ontario,91
293.73,19.71,72.24,1.1,6.85,17.48,Pomona,91
747.68,58.26,0.0,1.42,17.32,24.74,Alafaya,72
250.34,3.68,44.7,0.2,4.11,5.0,Brandon,37
407.22,57.58,1.02,11.68,21.95,27.53,Tracy,71
2002.72,70.6,0.0,3.82,66.87,77.0,Dearborn,150
867.84,72.66,0.03,10.25,46.35,62.87,San Mateo,111
680.92,37.7,0.03,1.77,15.99,19.39,Warren,51
236.99,7.8,63.66,3.4,1.07,3.01,Manchester,64
333.79,6.34,51.5,0.05,11.51,11.87,Lincoln,43
921.25,93.22,0.03,8.35,31.25,53.16,Redondo Beach,107
627.52,27.42,0.0,0.16,18.18,19.07,Davenport,55
203.61,0.2,74.39,0.23,2.2,6.57,Caguas,98
287.06,12.85,35.05,1.19,2.57,4.52,Glen Burnie,29
357.15,17.65,28.61,3.99,4.2,7.79,Brownsville,24
494.0,32.56,0.08,1.03,12.5,13.89,Fishers,40
230.31,4.16,64.37,1.7,1.2,5.03,Plymouth,66
607.49,21.25,0.0,1.89,13.55,17.9,Sandy Springs,43
383.85,10.11,23.25,0.12,15.15,16.55,Wichita,49
383.85,28.45,15.2,0.68,9.04,10.81,Davis,35
257.02,6.26,48.64,0.33,2.94,9.44,Fort Myers,41
220.3,2.55,27.18,0.03,0.5,0.6,Auburn,23
527.38,43.18,1.08,2.03,18.11,24.41,Manteca,55
801.09,91.85,0.1,6.38,31.79,39.9,Santa Clara,106
270.37,6.94,33.26,2.5,8.86,9.13,Denton,28
243.66,1.97,91.55,0.08,4.94,19.68,Simi Valley,141
467.3,51.41,18.24,2.41,8.9,16.94,Sunrise,64
313.76,16.79,17.88,1.24,2.93,4.6,Lancaster,20
270.37,5.91,58.65,0.26,4.03,10.15,Billings,49
201.94,0.22,67.23,0.19,2.62,8.1,Mayagüez,75
310.42,16.11,14.31,0.23,6.64,9.07,Fairfield,21
283.72,12.51,47.21,1.54,6.85,8.85,Waldorf,40
587.46,74.03,0.0,94.41,10.41,16.36,Saint Petersburg,92
407.22,22.96,34.33,1.16,14.95,16.18,Waco,48
360.49,17.99,42.56,0.62,9.83,15.49,Salinas,36
453.95,50.04,35.05,3.43,8.98,15.65,Scottsdale,62
243.66,1.24,68.67,0.66,2.26,3.08,German,80
243.66,4.28,71.53,0.13,4.52,12.11,Casas Adobes,89
247.0,2.96,52.21,0.11,5.16,6.14,Longview,44
383.85,30.16,16.27,4.05,18.63,20.29,Richardson,56
330.45,16.45,30.76,0.4,6.2,8.79,Modesto,26
190.26,0.24,58.65,0.14,2.9,8.68,Ponce,49
420.57,43.87,2.33,0.42,7.28,10.96,Pine Hills,54
293.73,19.71,72.24,1.1,6.85,17.48,Chino,91
